Iteration,Vivants,Morts
400,876,9124
401,876,9124
402,876,9124
403,896,9104
404,896,9104
405,896,9104
406,897,9103
407,897,9103
408,897,9103
409,885,9115
410,885,9115
411,885,9115
412,885,9115
413,885,9115
414,885,9115
415,879,9121
416,879,9121
417,879,9121
418,803,9197
419,803,9197
420,803,9197
421,842,9158
422,842,9158
423,842,9158
424,811,9189
425,811,9189
426,811,9189
427,825,9175
428,825,9175
429,825,9175
430,801,9199
431,801,9199
432,801,9199
433,800,9200
434,800,9200
435,800,9200
436,805,9195
437,805,9195
438,805,9195
439,741,9259
440,741,9259
441,741,9259
442,767,9233
443,767,9233
444,767,9233
445,788,9212
446,788,9212
447,788,9212
448,799,9201
449,799,9201
450,799,9201
451,822,9178
452,822,9178
453,822,9178
454,816,9184
455,816,9184
456,816,9184
457,837,9163
458,837,9163
459,837,9163
460,805,9195
461,805,9195
462,805,9195
463,833,9167
464,833,9167
465,833,9167
466,831,9169
467,831,9169
468,831,9169
469,837,9163
470,837,9163
471,837,9163
472,829,9171
473,829,9171
474,829,9171
475,842,9158
476,842,9158
477,842,9158
478,827,9173
479,827,9173
480,827,9173
481,859,9141
482,859,9141
483,859,9141
484,825,9175
485,825,9175
486,825,9175
487,807,9193
488,807,9193
489,807,9193
490,791,9209
491,791,9209
492,791,9209
493,779,9221
494,779,9221
495,779,9221
496,811,9189
497,811,9189
498,811,9189
499,822,9178
500,822,9178
501,822,9178
502,807,9193
503,807,9193
504,807,9193
505,810,9190
506,810,9190
507,810,9190
508,771,9229
509,771,9229
510,771,9229
511,808,9192
512,808,9192
513,808,9192
514,786,9214
515,786,9214
516,786,9214
517,798,9202
518,798,9202
519,798,9202
520,828,9172
521,828,9172
522,828,9172
523,811,9189
524,811,9189
525,811,9189
526,818,9182
527,818,9182
528,818,9182
529,806,9194
530,806,9194
531,806,9194
532,835,9165
533,835,9165
534,835,9165
535,783,9217
536,783,9217
537,783,9217
538,785,9215
539,785,9215
540,785,9215
541,766,9234
542,766,9234
543,766,9234
544,774,9226
545,774,9226
546,731,9269
547,731,9269
548,731,9269
549,726,9274
550,726,9274
551,726,9274
552,699,9301
553,699,9301
554,699,9301
555,724,9276
556,724,9276
557,724,9276
558,732,9268
559,732,9268
560,732,9268
561,734,9266
562,734,9266
563,734,9266
564,744,9256
565,744,9256
566,744,9256
567,782,9218
568,782,9218
569,782,9218
570,724,9276
571,724,9276
572,724,9276
573,769,9231
574,769,9231
575,769,9231
576,741,9259
577,741,9259
578,741,9259
579,723,9277
580,723,9277
581,723,9277
582,762,9238
583,762,9238
584,762,9238
585,733,9267
586,733,9267
587,733,9267
588,749,9251
589,749,9251
590,749,9251
591,740,9260
592,740,9260
593,740,9260
594,743,9257
595,743,9257
596,743,9257
597,740,9260
598,740,9260
599,740,9260
600,775,9225
601,775,9225
602,775,9225
603,741,9259
604,741,9259
605,741,9259
606,717,9283
607,717,9283
608,717,9283
609,739,9261
610,739,9261
611,739,9261
612,748,9252
613,748,9252
614,748,9252
615,751,9249
616,751,9249
617,751,9249
618,736,9264
619,736,9264
620,736,9264
621,722,9278
622,722,9278
623,722,9278
624,721,9279
625,721,9279
626,721,9279
627,751,9249
628,751,9249
629,751,9249
630,729,9271
631,729,9271
632,729,9271
633,758,9242
634,758,9242
635,758,9242
636,753,9247
637,753,9247
638,753,9247
639,775,9225
640,775,9225
641,775,9225
642,776,9224
643,776,9224
644,776,9224
645,787,9213
646,787,9213
647,787,9213
648,783,9217
649,783,9217
650,783,9217
651,810,9190
652,810,9190
653,810,9190
654,763,9237
655,763,9237
656,763,9237
657,753,9247
658,753,9247
659,753,9247
660,744,9256
661,744,9256
662,744,9256
663,781,9219
664,781,9219
665,781,9219
666,787,9213
667,787,9213
668,787,9213
669,799,9201
670,799,9201
671,799,9201
672,757,9243
673,757,9243
674,757,9243
675,748,9252
676,748,9252
677,748,9252
678,724,9276
679,724,9276
680,724,9276
681,745,9255
682,745,9255
683,745,9255
684,747,9253
685,747,9253
686,747,9253
687,760,9240
688,760,9240
689,760,9240
690,738,9262
691,738,9262
692,738,9262
693,782,9218
694,782,9218
695,782,9218
696,748,9252
697,748,9252
698,748,9252
699,777,9223
700,777,9223
701,777,9223
702,725,9275
703,725,9275
704,725,9275
705,746,9254
706,746,9254
707,746,9254
708,758,9242
709,758,9242
710,758,9242
711,777,9223
712,777,9223
713,777,9223
714,789,9211
715,789,9211
716,789,9211
717,800,9200
718,800,9200
719,800,9200
720,796,9204
721,796,9204
722,796,9204
723,809,9191
724,809,9191
725,764,9236
726,764,9236
727,764,9236
728,733,9267
729,733,9267
730,733,9267
731,700,9300
732,700,9300
733,700,9300
734,746,9254
735,746,9254
736,746,9254
737,704,9296
738,704,9296
739,704,9296
740,729,9271
741,729,9271
742,729,9271
743,721,9279
744,721,9279
745,721,9279
746,791,9209
747,791,9209
748,791,9209
749,692,9308
750,692,9308
751,692,9308
752,741,9259
753,741,9259
754,741,9259
755,699,9301
756,699,9301
757,699,9301
758,721,9279
759,721,9279
760,721,9279
761,730,9270
762,730,9270
763,730,9270
764,732,9268
765,732,9268
766,732,9268
767,707,9293
768,707,9293
769,707,9293
770,720,9280
771,720,9280
772,720,9280
773,724,9276
774,724,9276
775,724,9276
776,723,9277
777,723,9277
778,723,9277
779,721,9279
780,721,9279
781,721,9279
782,719,9281
783,719,9281
784,719,9281
785,722,9278
786,722,9278
787,722,9278
788,715,9285
789,715,9285
790,715,9285
791,746,9254
792,746,9254
793,746,9254
794,719,9281
795,719,9281
796,719,9281
797,740,9260
798,740,9260
799,740,9260
800,696,9304
801,696,9304
802,696,9304
803,708,9292
804,708,9292
805,708,9292
806,729,9271
807,729,9271
808,729,9271
809,743,9257
810,743,9257
811,743,9257
812,770,9230
813,770,9230
814,770,9230
815,741,9259
816,741,9259
817,741,9259
818,718,9282
819,718,9282
820,718,9282
821,747,9253
822,747,9253
823,747,9253
824,791,9209
825,791,9209
826,791,9209
827,742,9258
828,742,9258
829,742,9258
830,803,9197
831,803,9197
832,803,9197
833,741,9259
834,741,9259
835,741,9259
836,741,9259
837,741,9259
838,741,9259
839,710,9290
840,710,9290
841,710,9290
842,725,9275
843,725,9275
844,725,9275
845,716,9284
846,716,9284
847,716,9284
848,732,9268
849,732,9268
850,732,9268
851,688,9312
852,688,9312
853,688,9312
854,677,9323
855,677,9323
856,677,9323
857,667,9333
858,667,9333
859,667,9333
860,682,9318
861,682,9318
862,682,9318
863,643,9357
864,643,9357
865,643,9357
866,640,9360
867,640,9360
868,640,9360
869,653,9347
870,653,9347
871,653,9347
872,634,9366
873,634,9366
874,634,9366
875,655,9345
876,655,9345
877,655,9345
878,645,9355
879,645,9355
880,645,9355
881,668,9332
882,668,9332
883,668,9332
884,622,9378
885,622,9378
886,622,9378
887,640,9360
888,640,9360
889,640,9360
890,622,9378
891,622,9378
892,622,9378
893,616,9384
894,616,9384
895,616,9384
896,620,9380
897,620,9380
898,620,9380
899,656,9344
900,656,9344
901,656,9344
902,677,9323
903,677,9323
904,677,9323
905,666,9334
906,666,9334
907,666,9334
908,681,9319
909,681,9319
910,681,9319
911,652,9348
912,652,9348
913,652,9348
914,681,9319
915,681,9319
916,681,9319
917,647,9353
918,647,9353
919,647,9353
920,644,9356
921,644,9356
922,644,9356
923,651,9349
924,651,9349
925,651,9349
926,667,9333
927,667,9333
928,667,9333
929,668,9332
930,668,9332
931,668,9332
932,672,9328
933,672,9328
934,672,9328
935,689,9311
936,689,9311
937,689,9311
938,686,9314
939,686,9314
940,686,9314
941,702,9298
942,702,9298
943,702,9298
944,686,9314
945,686,9314
946,686,9314
947,755,9245
948,755,9245
949,755,9245
950,673,9327
951,673,9327
952,673,9327
953,690,9310
954,690,9310
955,690,9310
956,650,9350
957,650,9350
958,650,9350
959,691,9309
960,691,9309
961,691,9309
962,661,9339
963,661,9339
964,661,9339
965,710,9290
966,710,9290
967,710,9290
968,665,9335
969,665,9335
970,665,9335
971,643,9357
972,643,9357
973,643,9357
974,672,9328
975,672,9328
976,672,9328
977,637,9363
978,637,9363
979,637,9363
980,600,9400
981,600,9400
982,600,9400
983,578,9422
984,578,9422
985,578,9422
986,570,9430
987,570,9430
988,570,9430
989,600,9400
990,600,9400
991,600,9400
992,574,9426
993,574,9426
994,574,9426
995,567,9433
996,567,9433
997,567,9433
998,542,9458
999,542,9458
1000,542,9458
1001,550,9450
1002,550,9450
1003,550,9450
1004,558,9442
1005,558,9442
1006,558,9442
1007,545,9455
1008,545,9455
1009,545,9455
1010,560,9440
1011,560,9440
1012,560,9440
1013,565,9435
1014,565,9435
1015,565,9435
1016,544,9456
1017,544,9456
1018,544,9456
1019,589,9411
1020,589,9411
1021,589,9411
1022,581,9419
1023,581,9419
1024,581,9419
1025,594,9406
1026,594,9406
1027,594,9406
1028,577,9423
1029,577,9423
1030,577,9423
1031,621,9379
1032,621,9379
1033,621,9379
1034,615,9385
1035,615,9385
1036,615,9385
1037,625,9375
1038,625,9375
1039,625,9375
1040,619,9381
1041,619,9381
1042,619,9381
1043,624,9376
1044,624,9376
1045,624,9376
1046,611,9389
1047,611,9389
1048,611,9389
1049,609,9391
1050,609,9391
1051,609,9391
1052,614,9386
1053,614,9386
1054,614,9386
1055,601,9399
1056,601,9399
1057,601,9399
1058,556,9444
1059,556,9444
1060,556,9444
