Iteration,Vivants,Morts
398,2538,37462
399,2494,37506
400,2528,37472
401,2488,37512
402,2485,37515
403,2378,37622
404,2368,37632
405,2353,37647
406,2383,37617
407,2422,37578
408,2446,37554
409,2391,37609
410,2462,37538
411,2385,37615
412,2481,37519
413,2460,37540
414,2540,37460
415,2509,37491
416,2500,37500
417,2461,37539
418,2536,37464
419,2472,37528
420,2458,37542
421,2489,37511
422,2505,37495
423,2550,37450
424,2601,37399
425,2511,37489
426,2578,37422
427,2476,37524
428,2501,37499
429,2537,37463
430,2506,37494
431,2517,37483
432,2508,37492
433,2521,37479
434,2587,37413
435,2507,37493
436,2575,37425
437,2520,37480
438,2581,37419
439,2527,37473
440,2537,37463
441,2580,37420
442,2517,37483
443,2544,37456
444,2526,37474
445,2454,37546
446,2437,37563
447,2431,37569
448,2475,37525
449,2448,37552
450,2510,37490
451,2446,37554
452,2467,37533
453,2454,37546
454,2445,37555
455,2471,37529
456,2461,37539
457,2407,37593
458,2367,37633
459,2431,37569
460,2344,37656
461,2391,37609
462,2403,37597
463,2365,37635
464,2381,37619
465,2343,37657
466,2268,37732
467,2307,37693
468,2330,37670
469,2315,37685
470,2304,37696
471,2365,37635
472,2341,37659
473,2325,37675
474,2372,37628
475,2336,37664
476,2409,37591
477,2395,37605
478,2413,37587
479,2445,37555
480,2417,37583
481,2463,37537
482,2396,37604
483,2456,37544
484,2454,37546
485,2502,37498
486,2452,37548
487,2458,37542
488,2377,37623
489,2448,37552
490,2383,37617
491,2434,37566
492,2386,37614
493,2458,37542
494,2427,37573
495,2441,37559
496,2499,37501
497,2520,37480
498,2531,37469
499,2505,37495
500,2531,37469
501,2486,37514
502,2497,37503
503,2569,37431
504,2518,37482
505,2517,37483
506,2501,37499
507,2558,37442
508,2577,37423
509,2637,37363
510,2567,37433
511,2549,37451
512,2502,37498
513,2492,37508
514,2502,37498
515,2491,37509
516,2435,37565
517,2410,37590
518,2404,37596
519,2401,37599
520,2456,37544
521,2400,37600
522,2539,37461
523,2453,37547
524,2473,37527
525,2451,37549
526,2479,37521
527,2554,37446
528,2481,37519
529,2481,37519
530,2519,37481
531,2616,37384
532,2473,37527
533,2521,37479
534,2471,37529
535,2516,37484
536,2495,37505
537,2473,37527
538,2443,37557
539,2498,37502
540,2501,37499
541,2499,37501
542,2570,37430
543,2588,37412
544,2562,37438
545,2573,37427
546,2512,37488
547,2540,37460
548,2486,37514
549,2480,37520
550,2449,37551
551,2528,37472
552,2466,37534
553,2499,37501
554,2463,37537
555,2477,37523
556,2552,37448
557,2487,37513
558,2525,37475
559,2436,37564
560,2511,37489
561,2485,37515
562,2532,37468
563,2507,37493
564,2438,37562
565,2488,37512
566,2530,37470
567,2536,37464
568,2520,37480
569,2508,37492
570,2484,37516
571,2448,37552
572,2408,37592
573,2439,37561
574,2420,37580
575,2358,37642
576,2412,37588
577,2415,37585
578,2314,37686
579,2339,37661
580,2268,37732
581,2272,37728
582,2250,37750
583,2290,37710
584,2227,37773
585,2211,37789
586,2198,37802
587,2173,37827
588,2253,37747
589,2186,37814
590,2269,37731
591,2200,37800
592,2224,37776
593,2230,37770
594,2232,37768
595,2235,37765
596,2231,37769
597,2278,37722
598,2306,37694
599,2261,37739
600,2219,37781
601,2238,37762
602,2212,37788
603,2275,37725
604,2167,37833
605,2180,37820
606,2207,37793
607,2209,37791
608,2191,37809
609,2187,37813
610,2174,37826
611,2209,37791
612,2230,37770
613,2251,37749
614,2228,37772
615,2212,37788
616,2232,37768
617,2243,37757
618,2255,37745
619,2276,37724
620,2228,37772
621,2225,37775
622,2234,37766
623,2267,37733
624,2260,37740
625,2217,37783
626,2254,37746
627,2204,37796
628,2286,37714
629,2299,37701
630,2404,37596
631,2404,37596
632,2427,37573
633,2465,37535
634,2517,37483
635,2567,37433
636,2611,37389
637,2662,37338
638,2650,37350
639,2704,37296
640,2727,37273
641,2706,37294
642,2718,37282
643,2662,37338
644,2707,37293
645,2673,37327
646,2641,37359
647,2649,37351
648,2715,37285
649,2701,37299
650,2720,37280
651,2715,37285
652,2756,37244
653,2695,37305
654,2735,37265
655,2681,37319
656,2590,37410
657,2537,37463
658,2637,37363
659,2520,37480
660,2533,37467
661,2547,37453
662,2611,37389
663,2615,37385
664,2571,37429
665,2553,37447
666,2471,37529
667,2453,37547
668,2407,37593
669,2384,37616
670,2366,37634
671,2332,37668
672,2406,37594
673,2364,37636
674,2438,37562
675,2413,37587
676,2329,37671
677,2397,37603
678,2350,37650
679,2375,37625
680,2385,37615
681,2423,37577
682,2400,37600
683,2463,37537
684,2366,37634
685,2336,37664
686,2274,37726
687,2276,37724
688,2263,37737
689,2271,37729
690,2272,37728
691,2269,37731
692,2228,37772
693,2243,37757
694,2224,37776
695,2236,37764
696,2267,37733
697,2235,37765
698,2202,37798
699,2248,37752
700,2205,37795
701,2257,37743
702,2160,37840
703,2171,37829
704,2143,37857
705,2143,37857
706,2152,37848
707,2213,37787
708,2179,37821
709,2237,37763
710,2187,37813
711,2286,37714
712,2212,37788
713,2274,37726
714,2256,37744
715,2246,37754
716,2282,37718
717,2295,37705
718,2317,37683
719,2352,37648
720,2326,37674
721,2315,37685
722,2327,37673
723,2286,37714
724,2262,37738
725,2288,37712
726,2282,37718
727,2291,37709
728,2276,37724
729,2265,37735
730,2290,37710
731,2273,37727
732,2322,37678
733,2289,37711
734,2300,37700
735,2260,37740
736,2260,37740
737,2264,37736
738,2271,37729
739,2252,37748
740,2299,37701
741,2303,37697
742,2294,37706
743,2222,37778
744,2215,37785
